Watermark name,"Eagle, Single-Headed, A.a.a."
Short name,esh-A_a_a
Watermark text,"Watermark A.a.a. has three key features marked in red: wings that point downwards, a chain line that intersects the beak, and a crosier that is not of the Basel variety. (Marked with blue.)"
Back link,beak_crown
Branch name,"Eagle, Single-Headed"
Restart link,basel_eagle
