parent,yes,no
Is there a basel crosier at \n the center of the eagle?,Do the wing tips \n point downwards?,Is there a fleur-de-lis at \n the center of the eagle?
Do the wing tips \n point downwards?,A-a-a,Are there only letters on \n the bottom of the eagle?
Are there only letters on \n the bottom of the eagle?,Do four different chain \n lines intersect the eagle \n at various points?,Are there letters and a cross \n at the bottom of the eagle?
Do four different chain \n lines intersect the eagle \n at various points?,B-a-a,B-a-b
Are there letters and a cross \n at the bottom of the eagle?,D-a,C-a
Is there a fleur-de-lis at \n the center of the eagle?,Is the 2nd segment \n of wing noticeably shorter \n than the first segment?,Does the same chainline \n intersect the beak & crown?
Is the 2nd segment \n of wing noticeably shorter \n than the first segment?,2B-a-a or 2B-a-b,2B-b
Does the same chainline \n intersect the beak & crown?,2A-a-a,2A-a
